"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Переключение языка (RU -> EN, EN -> RU)","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","switchLocaleTest"
"","25","Проверить 6 общих ссылок в боковом меню При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","10","Проверить фильтр поиска ""Статус вида деятельности"" ""Не действует"" должен показать не пустой список","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:12 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","7","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:12 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","6","Быстрый поиск на главной странице","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","quickSearchTest"
"","10","Поиск организаций по неполному названию Запрос ""Открытие"" должен найти компанию ОАО Банк ""ОТКРЫТИЕ"" (ИНН/ОГРН 7744003399/1037711013295). Статус - Не действует","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:12 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","9","Проверить кликабельность логотипа","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","checkClickableLogoTest"
"","14","Проверить 6 общих ссылок в боковом меню При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","10","Проверить заголовки верхнего уровня","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка страницы ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
"","11","Проверить фильтр поиска по региону организаций по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:12 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","14","Проверить 6 общих ссылок в боковом меню При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","8","Проверить 6 общих ссылок в боковом меню При клике на ""О сайте"" переходит на cbr.ru/about","","Thu Feb 27 14:21:13 GMT 2025","broken","Thu Feb 27 14:21:13 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","110","Проверить фильтр поиска по региону организаций по региону ""Алтайский край"" должен показать не пустой список","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:12 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","12","Проверить фильтр поиска ""Статус вида деятельности"" ""Все"" должен показать не пустой список","","Thu Feb 27 14:21:12 GMT 2025","broken","Thu Feb 27 14:21:12 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
