"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","37","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","26","В боковом меню 6 общих ссылок работают При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","17","В боковом меню 6 общих ссылок работают При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","28","В боковом меню 6 общих ссылок работают При клике на ""О сайте"" переходит на cbr.ru/about","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","65","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Sun Jan 26 21:21:09 GMT 2025","broken","Sun Jan 26 21:21:09 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","25","Переключение языка (RU -> EN, EN -> RU)","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderBlockTests","switchLocaleTest"
"","22","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Все"" должен показать не пустой список","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","24","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Действует"" должен показать не пустой список","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","17","В боковом меню 6 общих ссылок работают При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","23","Проверка заголовков верхнего уровня","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Проверка страницы ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
"","437","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Алтайский край"" должен показать не пустой список","","Sun Jan 26 21:21:09 GMT 2025","broken","Sun Jan 26 21:21:09 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","22","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""город Москва"" должен показать не пустой список","","Sun Jan 26 21:21:09 GMT 2025","broken","Sun Jan 26 21:21:09 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","32","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Sun Jan 26 21:21:10 GMT 2025","broken","Sun Jan 26 21:21:10 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
