"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Переключение языка (RU -> EN, EN -> RU)","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","switchLocaleTest"
"","44","Проверить 6 общих ссылок в боковом меню При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","45","Поиск организаций по неполному названию Запрос ""Открытие"" должен найти компанию ОАО Банк ""ОТКРЫТИЕ"" (ИНН/ОГРН 7744003399/1037711013295). Статус - Не действует","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","34","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","42","Проверить фильтр поиска по региону организаций по региону ""город Москва"" должен показать не пустой список","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","25","Проверить 6 общих ссылок в боковом меню При клике на ""О сайте"" переходит на cbr.ru/about","","Sun Feb 16 15:18:27 GMT 2025","broken","Sun Feb 16 15:18:27 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","30","Проверить 6 общих ссылок в боковом меню При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Sun Feb 16 15:18:27 GMT 2025","broken","Sun Feb 16 15:18:27 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","35","Проверить фильтр поиска ""Статус вида деятельности"" ""Действует"" должен показать не пустой список","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","46","Проверить фильтр поиска по региону организаций по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","22","Проверить 6 общих ссылок в боковом меню При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Sun Feb 16 15:18:26 GMT 2025","broken","Sun Feb 16 15:18:27 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
