"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","41","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","40","Проверка заголовков верхнего уровня","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка страницы ""Карта сайта""","ru.cbr.tests.SiteMapTests","mainGroupsTest"
"","35","В боковом меню 6 общих ссылок работают При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","18","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Mon Jan 13 13:36:54 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","34","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Действует"" должен показать не пустой список","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","19","Переключение языка (RU -> EN, EN -> RU)","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","switchLocaleTest"
"","34","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""город Москва"" должен показать не пустой список","","Mon Jan 13 13:36:54 GMT 2025","broken","Mon Jan 13 13:36:54 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","26","В боковом меню 6 общих ссылок работают При клике на ""О сайте"" переходит на cbr.ru/about","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","27","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","468","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Алтайский край"" должен показать не пустой список","","Mon Jan 13 13:36:54 GMT 2025","broken","Mon Jan 13 13:36:54 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","25","В боковом меню 6 общих ссылок работают При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","26","Быстрый поиск на главной странице","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","quickSearchTest"
"","33","В боковом меню 6 общих ссылок работают При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","27","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Все"" должен показать не пустой список","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","29","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Mon Jan 13 13:36:54 GMT 2025","broken","Mon Jan 13 13:36:54 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","15","Логотип кликабельный","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","checkClickableLogoTest"
"","18","Проверка номеров телефонов в футере","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","39","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ярославская область"" должен показать не пустой список","","Mon Jan 13 13:36:54 GMT 2025","broken","Mon Jan 13 13:36:54 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","56","В боковом меню 6 общих ссылок работают При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","50","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Mon Jan 13 13:36:55 GMT 2025","broken","Mon Jan 13 13:36:55 GMT 2025","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
