"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Переключение языка (RU -> EN, EN -> RU)","","Thu Dec 12 14:46:12 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","switchLocaleTest"
"","44","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Thu Dec 12 14:46:12 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","24","Проверка номеров телефонов в футере Телефон 300 есть","","Thu Dec 12 14:46:12 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","51","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Thu Dec 12 14:46:11 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","485","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Алтайский край"" должен показать не пустой список","","Thu Dec 12 14:46:10 GMT 2024","broken","Thu Dec 12 14:46:11 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","29","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Thu Dec 12 14:46:11 GMT 2024","broken","Thu Dec 12 14:46:11 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","15","Быстрый поиск на главной странице","","Thu Dec 12 14:46:12 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","quickSearchTest"
"","56","В боковом меню 6 общих ссылок работают При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Thu Dec 12 14:46:12 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","30","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""город Москва"" должен показать не пустой список","","Thu Dec 12 14:46:11 GMT 2024","broken","Thu Dec 12 14:46:11 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","15","Проверка заголовков верхнего уровня","","Thu Dec 12 14:46:12 GMT 2024","broken","Thu Dec 12 14:46:12 GMT 2024","","Проверка страницы ""Карта сайта""","ru.cbr.tests.SiteMapTests","mainGroupsTest"
