"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7254","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Sun Dec 01 13:03:46 GMT 2024","passed","Sun Dec 01 13:03:53 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","5219","В боковом меню 6 общих ссылок работают При клике на""О сайте"" переходит на cbr.ru/about","","Sun Dec 01 13:05:29 GMT 2024","passed","Sun Dec 01 13:05:34 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","7458","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" По региону ""Ярославская область"" должен показать не пустой список","","Sun Dec 01 13:03:39 GMT 2024","passed","Sun Dec 01 13:03:46 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","6300","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" По региону ""город Москва"" должен показать не пустой список","","Sun Dec 01 13:03:15 GMT 2024","passed","Sun Dec 01 13:03:21 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","7217","Переключение языка (RU -> EN, EN -> RU)","","Sun Dec 01 13:04:40 GMT 2024","passed","Sun Dec 01 13:04:47 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","switchLocaleTest"
"","4857","В боковом меню 6 общих ссылок работают При клике на""Решения Банка России"" переходит на cbr.ru/rbr","","Sun Dec 01 13:05:12 GMT 2024","passed","Sun Dec 01 13:05:17 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","5635","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" По региону ""Ненецкий автономный округ"" должен показать не пустой список","","Sun Dec 01 13:03:27 GMT 2024","passed","Sun Dec 01 13:03:32 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","4557","В боковом меню 6 общих ссылок работают При клике на""Карта сайта"" переходит на cbr.ru/sitemap","","Sun Dec 01 13:05:24 GMT 2024","passed","Sun Dec 01 13:05:29 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","6716","Проверка номеров телефонов в футере Телефон 300 есть","","Sun Dec 01 13:04:25 GMT 2024","passed","Sun Dec 01 13:04:31 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","6856","В боковом меню 6 общих ссылок работают При клике на""Контактная информация"" переходит на cbr.ru/contacts","","Sun Dec 01 13:05:17 GMT 2024","passed","Sun Dec 01 13:05:24 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
