"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","478","Проверить фильтр поиска по региону организаций по региону ""Алтайский край"" должен показать не пустой список","","Fri Feb 28 09:14:24 GMT 2025","broken","Fri Feb 28 09:14:24 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","21","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","26","Проверить номера телефонов в футере","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверка футера сайта (нижний блок)","tests.FooterTests","footerPhoneNumberTest"
"","19","Проверить 6 общих ссылок в боковом меню При клике на ""Новости"" переходит на cbr.ru/news","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","16","Быстрый поиск на главной странице","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","quickSearchTest"
"","35","Проверить фильтр поиска ""Статус УФР/вида деятельности"" ""Все"" должен показать не пустой список","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","37","Проверить 6 общих ссылок в боковом меню При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","19","Проверить 6 общих ссылок в боковом меню При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","18","Переключение языка (RU -> EN, EN -> RU)","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","switchLocaleTest"
"","34","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","30","Проверить заголовки верхнего уровня","","Fri Feb 28 09:14:25 GMT 2025","broken","Fri Feb 28 09:14:25 GMT 2025","","Проверить страницу ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
