"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 18:20:46 GMT 2024","Sun Sep 08 18:20:50 GMT 2024","4117","","Проверка страницы ""Карта сайта""","","ru.cbr.SiteMapTests","mainGroupsTest","Проверка заголовков верхнего уровня",""
"passed","Sun Sep 08 18:20:38 GMT 2024","Sun Sep 08 18:20:46 GMT 2024","8361","","Проверка шапки сайта (верхний блок)","","ru.cbr.HeaderBlockTests","checkClickableLogoTest","Логотип кликабельный",""
