"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","17","Переключение языка (RU -> EN, EN -> RU)","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderBlockTests","switchLocaleTest"
"","26","В боковом меню 6 общих ссылок работают При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","27","Проверка номеров телефонов в футере","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка футера сайта (нижний блок)","tests.FooterBlockTests","footerPhoneNumberTest"
"","32","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Все"" должен показать не пустой список","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","36","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","34","В боковом меню 6 общих ссылок работают При клике на ""О сайте"" переходит на cbr.ru/about","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","38","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ярославская область"" должен показать не пустой список","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","43","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","27","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","25","В боковом меню 6 общих ссылок работают При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","16","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Действует"" должен показать не пустой список","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","25","В боковом меню 6 общих ссылок работают При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Mon Jan 27 10:26:39 GMT 2025","broken","Mon Jan 27 10:26:39 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
