"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","496","Проверить фильтр поиска по региону организаций по региону ""Алтайский край"" должен показать не пустой список","","Fri Feb 28 14:21:42 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","40","Проверить фильтр поиска по региону организаций по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","33","Проверить фильтр поиска ""Статус УФР/вида деятельности"" ""Не действует"" должен показать не пустой список","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","80","Проверить фильтр поиска по региону организаций по региону ""Ярославская область"" должен показать не пустой список","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","19","Проверить кликабельность логотипа","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","checkClickableLogoTest"
"","16","Проверить 6 общих ссылок в боковом меню При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","18","Быстрый поиск на главной странице","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","quickSearchTest"
"","22","Проверить фильтр поиска ""Статус УФР/вида деятельности"" ""Все"" должен показать не пустой список","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","36","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","32","Проверить 6 общих ссылок в боковом меню При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","14","Проверить 6 общих ссылок в боковом меню При клике на ""О сайте"" переходит на cbr.ru/about","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","24","Проверить фильтр поиска по региону организаций по региону ""город Москва"" должен показать не пустой список","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","37","Проверить 6 общих ссылок в боковом меню При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","23","Проверить заголовки верхнего уровня","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверить страницу ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
"","31","Проверить 6 общих ссылок в боковом меню При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","44","Поиск организаций по неполному названию Запрос ""Открытие"" должен найти компанию ОАО Банк ""ОТКРЫТИЕ"" (ИНН/ОГРН 7744003399/1037711013295). Статус - Не действует","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","22","Переключение языка (RU -> EN, EN -> RU)","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","switchLocaleTest"
"","16","Проверить фильтр поиска ""Статус УФР/вида деятельности"" ""Действует"" должен показать не пустой список","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","28","Проверить 6 общих ссылок в боковом меню При клике на ""Новости"" переходит на cbr.ru/news","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","25","Проверить номера телефонов в футере","","Fri Feb 28 14:21:44 GMT 2025","broken","Fri Feb 28 14:21:44 GMT 2025","","Проверка футера сайта (нижний блок)","tests.FooterTests","footerPhoneNumberTest"
"","48","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Fri Feb 28 14:21:43 GMT 2025","broken","Fri Feb 28 14:21:43 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
