"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Проверить заголовки верхнего уровня","","Sun Feb 16 14:29:27 GMT 2025","broken","Sun Feb 16 14:29:27 GMT 2025","","Проверка страницы ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
"","27","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","23","Переключение языка (RU -> EN, EN -> RU)","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","switchLocaleTest"
"","508","Проверить фильтр поиска по региону организаций по региону ""Алтайский край"" должен показать не пустой список","","Sun Feb 16 14:29:25 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","19","Проверка номеров телефонов в футере","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка футера сайта (нижний блок)","tests.FooterTests","footerPhoneNumberTest"
"","70","Проверить фильтр поиска по региону организаций по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","19","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","34","Проверить 6 общих ссылок в боковом меню При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","34","Проверить 6 общих ссылок в боковом меню При клике на ""О сайте"" переходит на cbr.ru/about","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:27 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","23","Проверить 6 общих ссылок в боковом меню При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","33","Проверить 6 общих ссылок в боковом меню При клике на ""Новости"" переходит на cbr.ru/news","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","49","Поиск организаций по неполному названию Запрос ""Открытие"" должен найти компанию ОАО Банк ""ОТКРЫТИЕ"" (ИНН/ОГРН 7744003399/1037711013295). Статус - Не действует","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","28","Проверить фильтр поиска по региону организаций по региону ""Ярославская область"" должен показать не пустой список","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","29","Быстрый поиск на главной странице","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","quickSearchTest"
"","27","Проверить фильтр поиска ""Статус вида деятельности"" ""Не действует"" должен показать не пустой список","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","25","Проверить 6 общих ссылок в боковом меню При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","35","Проверить фильтр поиска ""Статус вида деятельности"" ""Все"" должен показать не пустой список","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","19","Проверить кликабельность логотипа","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderTests","checkClickableLogoTest"
"","25","Проверить 6 общих ссылок в боковом меню При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","24","Проверить фильтр поиска по региону организаций по региону ""город Москва"" должен показать не пустой список","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","17","Проверить фильтр поиска ""Статус вида деятельности"" ""Действует"" должен показать не пустой список","","Sun Feb 16 14:29:26 GMT 2025","broken","Sun Feb 16 14:29:26 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
