"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","30","Проверка заголовков верхнего уровня","","Mon Jan 27 13:34:47 GMT 2025","broken","Mon Jan 27 13:34:47 GMT 2025","","Проверка страницы ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
"","407","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Алтайский край"" должен показать не пустой список","","Mon Jan 27 13:34:45 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","39","В боковом меню 6 общих ссылок работают При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:47 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","22","В боковом меню 6 общих ссылок работают При клике на ""О сайте"" переходит на cbr.ru/about","","Mon Jan 27 13:34:47 GMT 2025","broken","Mon Jan 27 13:34:47 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","29","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Все"" должен показать не пустой список","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","25","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","21","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""город Москва"" должен показать не пустой список","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","37","Быстрый поиск на главной странице","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderBlockTests","quickSearchTest"
"","35","Поиск организаций по неполному названию Запрос ""ВТБ"" должен найти компанию Банк ВТБ (ПАО) (ИНН/ОГРН 7702070139/1027739609391). Статус - Действует","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","40","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ярославская область"" должен показать не пустой список","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","24","Переключение языка (RU -> EN, EN -> RU)","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderBlockTests","switchLocaleTest"
"","19","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","42","Логотип кликабельный","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Проверка шапки сайта (верхний блок)","tests.HeaderBlockTests","checkClickableLogoTest"
"","27","В боковом меню 6 общих ссылок работают При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","25","Проверка номеров телефонов в футере","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Проверка футера сайта (нижний блок)","tests.FooterBlockTests","footerPhoneNumberTest"
"","42","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Mon Jan 27 13:34:46 GMT 2025","broken","Mon Jan 27 13:34:46 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
