"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","442","Проверить фильтр поиска по региону организаций по региону ""Алтайский край"" должен показать не пустой список","","Mon Feb 17 18:46:13 GMT 2025","broken","Mon Feb 17 18:46:13 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","27","Проверить заголовки верхнего уровня","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Проверка страницы ""Карта сайта""","tests.SiteMapTests","mainGroupsTest"
"","19","Проверить фильтр поиска ""Статус вида деятельности"" ""Действует"" должен показать не пустой список","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","29","Проверить фильтр поиска по региону организаций по региону ""город Москва"" должен показать не пустой список","","Mon Feb 17 18:46:13 GMT 2025","broken","Mon Feb 17 18:46:13 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","26","Проверить 6 общих ссылок в боковом меню При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","19","Проверить 6 общих ссылок в боковом меню При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","23","Проверить 6 общих ссылок в боковом меню При клике на ""Новости"" переходит на cbr.ru/news","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","23","Поиск организаций по неполному названию Запрос ""Открытие"" должен найти компанию ОАО Банк ""ОТКРЫТИЕ"" (ИНН/ОГРН 7744003399/1037711013295). Статус - Не действует","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Поиск организаций, участников финансового рынка","tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","25","Проверить 6 общих ссылок в боковом меню При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Mon Feb 17 18:46:14 GMT 2025","broken","Mon Feb 17 18:46:14 GMT 2025","","Проверка бокового меню","tests.OffsetMenuTests","offsetMenuQuickLinksTest"
